SALE TYPE,PROPERTY TYPE,PROPERTY ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,PROPERTY LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA MONTH,PROPERTY STATUS,SOURCE_\ URL ,SOURCE,MLS NO,LATITUDE,LONGITUDE
MLS Listing,Condo/Co-op,451 Kansas St #392,San Francisco,CA,94107,1190000,2,2.0,San Francisco,964,80311,2007,1,618,Active,http://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-392/home/23424289,San Francisco MLS,421517424,37.764113,-122.4029865
MLS Listing,Condo/Co-op,1 Buena Vista St E Unit A,San Francisco,CA,94117,1250000,2,1.0,San Francisco,1258,1900,1896,1,400,Active,http://www.redfin.com/CA/San-Francisco/1-Buena-Vista-Ave-E-94117/unit-A/home/75123624,San Francisco MLS,421516808,37.7707782,-122.4399305
MLS Listing,Single Family Residential,152 Saturn St,San Francisco,CA,94114,1375000,2,2.0,San Francisco,1100,2217,1906,1,406,Active,http://www.redfin.com/CA/San-Francisco/152-Saturn-St-94114/home/144286357,San Francisco MLS,421516917,37.7627433,-122.443778
MLS Listing,Single Family Residential,148 Saturn St,San Francisco,CA,94114,975000,1,1.5,San Francisco,1005,2217,1906,1,370,Active,http://www.redfin.com/CA/San-Francisco/148-Saturn-St-94114/home/671009,San Francisco MLS,421517049,37.7628338,-122.4437049
MLS Listing,Single Family Residential,1270 16th Ave,San Francisco,CA,94122,1300000,3,1.0,San Francisco,1340,2500,1908,7,,Active,http://www.redfin.com/CA/San-Francisco/1270-16th-Ave-94122/home/626970,BAREIS,515641,37.7642801,-122.4737579
MLS Listing,Condo/Co-op,451 Kansas St #371,San Francisco,CA,94107,899000,1,1.0,San Francisco,778,,2007,8,566,Active,http://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-371/home/23424333,San Francisco MLS,515307,37.764113,-122.4029865
MLS Listing,Single Family Residential,4448 24th St,San Francisco,CA,94114,1650000,2,2.0,San Francisco,,2944,1910,15,,Active,http://www.redfin.com/CA/San-Francisco/4448-24th-St-94114/home/1053431,San Francisco MLS,512914,37.7511831,-122.4417657
MLS Listing,Condo/Co-op,45 Western Shore Ln #4,San Francisco,CA,94115,599000,2,1.0,San Francisco,840,,1963,22,764,Active,http://www.redfin.com/CA/San-Francisco/45-Western-Shore-Ln-94115/unit-4/home/12401212,San Francisco MLS,512296,37.7839552,-122.4286985
MLS Listing,Condo/Co-op,1635 California St #24,San Francisco,CA,94109,950000,2,2.0,San Francisco,915,,2005,22,639,Active,http://www.redfin.com/CA/San-Francisco/1635-California-St-94109/unit-24/home/12277015,San Francisco MLS,511753,37.7901833,-122.4213456
MLS Listing,Condo/Co-op,1688 Pine St Unit E506,San Francisco,CA,94109,1298000,2,2.0,San Francisco,989,,2016,29,758,Active,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-E506/home/112778979,San Francisco MLS,511544,37.789553,-122.4232788
